Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Concept: Platform,Concept: Service,Concept: Technology,Concept: Company,Concept: Personal Information,Concept: Other Brands,Concept: Non-Brands,Concept: Hosting Provider,Concept: Others,Concept: Control Panel
hosting,INR,50000,0%,0%,Low,21,18.76,249.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
web hosting,INR,50000,0%,0%,Medium,52,43.23,321.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
domains,INR,50000,0%,0%,Medium,35,15.06,90.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
securtiy,INR,500000,0%,0%,Low,3,3.91,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
vps,INR,50000,0%,0%,Low,17,90.73,280.13,,,,,,,,,,,,,,,,,,,vps,,,,,Non-Brands,,,
domain name,INR,50000,0%,0%,Medium,43,13.06,83.56,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
dns lookup,INR,50000,0%,0%,Low,3,1.1,77.99,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain name search,INR,50000,0%,0%,Medium,44,16.35,90.73,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
dns checker,INR,50000,0%,0%,Low,1,34.22,198.96,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
godaddy domain,INR,50000,0%,0%,Medium,34,5.53,176.94,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
domain search,INR,50000,0%,0%,Medium,43,19.8,95.87,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain check,INR,50000,0%,0%,Medium,38,17.6,64.46,,,,,,,,,,,,,,,,,,,,,,website,,Non-Brands,,,
infinityfree,INR,50000,0%,0%,Low,1,17.91,89.13,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,
buy domain,INR,50000,0%,0%,Medium,60,26.57,162.35,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
free domain,INR,50000,0%,0%,Medium,61,16.71,102.4,,,,,,,,,,,,,,,,,,,,,,,free,,,,
tld,INR,5000,0%,0%,Low,4,30.24,175.88,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
profreehost,INR,50000,0%,0%,Low,6,3.98,66.42,,,,,,,,,,,,,,,,,,,"website hosting, web hosting, free hosting",,,website,free,,,,
free hosting,INR,50000,0%,0%,Medium,46,34.22,236.17,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",,,website,free,,freehosting,,
domain lookup,INR,5000,0%,0%,Low,22,9.74,77.99,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
cname,INR,5000,0%,0%,Low,0,3.98,66.85,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
wordpress hosting,INR,5000,0%,0%,High,73,110.62,576.19,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,,,,,,,
godaddy hosting,INR,5000,0%,0%,Low,33,19.66,444.08,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
domain name generator,INR,5000,0%,0%,Medium,44,20.65,93.11,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
domain registration,INR,5000,0%,-90%,Medium,60,23.3,148.28,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
free web hosting,INR,5000,0%,0%,Medium,59,31.44,223.21,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",,,website,free,,,,
pebblehost,INR,500,0%,0%,Low,2,9.63,78.29,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
godaddy domain search,INR,5000,0%,0%,Low,29,7.16,77.99,,,,,,,,,,,,,,,,,,,,,godaddy,"website, name",,,,,
buy domain name,INR,5000,0%,0%,Medium,59,26.53,194.18,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
website hosting,INR,5000,0%,0%,Medium,64,47.42,321.52,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
kinsta,INR,5000,0%,0%,Low,21,2.02,1040.16,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,kinsta,,,,,,
vps hosting,INR,5000,0%,0%,High,70,100.43,296.85,,,,,,,,,,,,,,,,,,,vps,,,,,Non-Brands,,,
free domain name,INR,5000,0%,0%,Medium,63,19.9,105.53,,,,,,,,,,,,,,,,,,,,,,name,free,,,,
expired domains,INR,50000,900%,0%,Low,19,19.83,96.3,,,,,,,,,,,,,,,,,,,,,,name,expired domains,,,,
free vps,INR,5000,0%,0%,Medium,53,87.48,861.1,,,,,,,,,,,,,,,,,,,"vps, free hosting",,,,free,,,,
dedicated server,INR,5000,0%,0%,Medium,66,151.14,405.08,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
subdomain,INR,5000,0%,0%,Low,5,1.59,42.18,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
free website hosting,INR,5000,0%,0%,Medium,54,35.02,244.32,,,,,,,,,,,,,,,,,,,"website hosting, web hosting, free hosting",,,website,free,,,,
godaddy website,INR,5000,0%,0%,Low,20,10.35,119.38,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,godaddy,website,,,,,
webhost000,INR,5000,-90%,-90%,Low,4,23.88,79.93,,,,,,,,,,,,,,,,,,,web hosting,,,,webhost000,,000webhost,,
vps server,INR,5000,0%,0%,High,77,120.97,306.4,,,,,,,,,,,,,,,,,,,"vps, virtual server",,,,,Non-Brands,,,
top level domain,INR,5000,0%,0%,Low,6,15.92,149.62,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
namecheap domain,INR,5000,0%,0%,Medium,47,17.51,125.74,,,,,,,,,,,,,,,,,,,,,namecheap,name,,,,,
email hosting,INR,5000,0%,0%,Medium,53,43.62,698.26,,,,,,,,,,,,,,,,,,,"business hosting, email hosting",,,email,,Non-Brands,,,
00webhost,INR,500,900%,0%,Low,4,16.11,80.38,,,,,,,,,,,,,,,,,,,web hosting,,,,00webhost,,000webhost,,
email domain,INR,5000,0%,0%,Medium,40,34.59,2058.83,,,,,,,,,,,,,,,,,,,,,,"email, address",,Non-Brands,,,
cloud hosting,INR,5000,0%,0%,Medium,61,74.92,251.34,,,,,,,,,,,,,,,,,,,cloud hosting,,,,,Non-Brands,,,
cheap domain,INR,5000,0%,0%,High,79,33.43,163.94,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
godaddy appraisal,INR,5000,0%,0%,Low,15,3.98,41.65,,,,,,,,,,,,,,,,,,,,,godaddy,,domain appraisal,,,,
domain availability,INR,5000,0%,0%,Medium,39,17.17,86.75,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain name availability,INR,5000,0%,0%,Medium,41,19.83,93.67,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
domain name registration,INR,5000,0%,0%,Medium,54,22.5,164.98,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
domain purchase,INR,5000,0%,0%,Medium,66,27.85,176.68,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
namemesh,INR,5000,0%,-90%,Low,19,13.58,54.12,,,,,,,,,,,,,,,,,,,,,,name,namemesh,,,,
check domain availability,INR,5000,0%,0%,Medium,41,17.96,81.18,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
directadmin,INR,5000,0%,-90%,Low,2,5.98,95.58,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,directadmin
leandomainsearch,INR,5000,0%,0%,Low,28,6.37,58.1,,,,,,,,,,,,,,,,,,,,,,name,lean domain search,,,,
googledomains,INR,50000,0%,0%,Low,23,96.3,2132.05,,,,,,,,,,,,,,,,,,,,google,google domains,,,,,,
namecheap hosting,INR,5000,900%,0%,Medium,39,24.67,224.43,,,,,,,,,,,,,,,,,,,,,namecheap,,,,,,
google hosting,INR,5000,0%,0%,Medium,39,40.59,3889.26,,,,,,,,,,,,,,,,,,,,google,,,,,,,
website name generator,INR,5000,0%,0%,Medium,46,11.67,45.41,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
reseller hosting,INR,5000,0%,0%,High,71,41.39,397.92,,,,,,,,,,,,,,,,,,,"web hosting services, reseller hosting, web hosting",,,,,Non-Brands,,,
domain hosting,INR,5000,0%,0%,Medium,61,41.38,321.52,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting",,,,,Non-Brands,,,
server hosting,INR,5000,0%,0%,Medium,51,37.4,237.3,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
